id	polarity	polarity_orig	sentence	polex	polex+targets	polex_span	polex+targets_span	target_spans	split
FT_editorial_macro_31-05-2012 48 01	negative	has_medium_neg_target	All in all , for both executives and investors , there is just a hint of a doomed golden-age vibe to cash-rich 2012 .	doomed	doomed golden-age	(17, 17)	(17, 18)	[(18, 18)]	train
FT_editorial_macro_31-05-2012 48 02	positive	has_high_pos_target	All in all , for both executives and investors , there is just a hint of a doomed golden-age vibe to cash-rich 2012 .	cash-rich	cash-rich 2012	(21, 21)	(21, 22)	[(22, 22)]	train
FT_editorial_sector_06-05-05 00 00	positive	has_high_pos_target	Sharing solutions to energy supply as well as burdens	solutions	solutions to energy supply	(1, 1)	(1, 4)	[(3, 4)]	train
FT_editorial_sector_06-05-05 00 01	negative	has_medium_neg_target	Sharing solutions to energy supply as well as burdens	burdens	energy supply as well as burdens	(8, 8)	(3, 8)	[(3, 4)]	train
FT_editorial_sector_06-05-05 04 00	negative	has_medium_neg_target	"Sir , The claim by Claude Mandil , head of the International Energy Agency , that the world is "" not investing enough in oil and gas production , refining , power generation and transmission "" ( report , May 4 ) highlights a key concern shared across borders and cultures : security of the energy supply ."	"is "" not investing enough in"	"is "" not investing enough in oil and gas production , refining , power generation and transmission"	(18, 23)	(18, 34)	[(24, 34)]	train
FT_editorial_sector_06-05-05 04 01	negative	has_medium_neg_target	"Sir , The claim by Claude Mandil , head of the International Energy Agency , that the world is "" not investing enough in oil and gas production , refining , power generation and transmission "" ( report , May 4 ) highlights a key concern shared across borders and cultures : security of the energy supply ."	"is "" not investing enough in oil and gas production , refining , power generation and transmission"	"the world is "" not investing enough in oil and gas production , refining , power generation and transmission"	(18, 34)	(16, 34)	[(16, 17)]	train
FT_editorial_sector_06-05-05 04 02	negative	has_medium_neg_target	"Sir , The claim by Claude Mandil , head of the International Energy Agency , that the world is "" not investing enough in oil and gas production , refining , power generation and transmission "" ( report , May 4 ) highlights a key concern shared across borders and cultures : security of the energy supply ."	a key concern shared across borders and cultures :	a key concern shared across borders and cultures : security of the energy supply	(43, 51)	(43, 56)	[(52, 56)]	train
FT_editorial_sector_06-05-05 06 00	negative	has_high_neg_target	Considered by the International Chamber of Commerce as the biggest energy challenge faced by the European Union and the Organisation for Economic Co-operation and Development this century , the reality of our failing resources is no longer embedded in the fuel scares of the 1970s .	the biggest	the biggest energy challenge faced by the European Union and the Organisation for Economic Co-operation and Development	(8, 9)	(8, 24)	[(10, 24)]	train
FT_editorial_sector_06-05-05 06 01	negative	has_medium_neg_target	Considered by the International Chamber of Commerce as the biggest energy challenge faced by the European Union and the Organisation for Economic Co-operation and Development this century , the reality of our failing resources is no longer embedded in the fuel scares of the 1970s .	the biggest energy challenge faced by the European Union and the Organisation for Economic Co-operation and Development this century	the biggest energy challenge faced by the European Union and the Organisation for Economic Co-operation and Development this century	(8, 26)	(8, 26)	[(14, 24)]	train
FT_editorial_sector_06-05-05 06 02	negative	has_high_neg_target	Considered by the International Chamber of Commerce as the biggest energy challenge faced by the European Union and the Organisation for Economic Co-operation and Development this century , the reality of our failing resources is no longer embedded in the fuel scares of the 1970s .	failing	failing resources	(32, 32)	(32, 33)	[(33, 33)]	train
FT_editorial_sector_06-05-05 06 03	negative	has_medium_neg_target	Considered by the International Chamber of Commerce as the biggest energy challenge faced by the European Union and the Organisation for Economic Co-operation and Development this century , the reality of our failing resources is no longer embedded in the fuel scares of the 1970s .	is no longer embedded in	our failing resources is no longer embedded in	(34, 38)	(31, 38)	[(31, 33)]	train
FT_editorial_sector_06-05-05 07 00	negative	has_high_neg_target	In 2003 alone , winter brought severe power failures in Italy , Denmark , Sweden and other countries .	In 2003 alone , winter brought severe power failures	In 2003 alone , winter brought severe power failures in Italy , Denmark , Sweden and other countries	(0, 8)	(0, 17)	[(10, 17)]	train
FT_editorial_sector_06-05-05 07 01	negative	has_high_neg_target	In 2003 alone , winter brought severe power failures in Italy , Denmark , Sweden and other countries .	severe	severe power failures in Italy , Denmark , Sweden and other countries	(6, 6)	(6, 17)	[(7, 17)]	train
FT_editorial_sector_06-05-05 08 00	negative	has_medium_neg_target	With summer came blackouts in Canada and the US , as well as a brief power shortage in London .	came blackouts in	came blackouts in Canada and the US	(2, 4)	(2, 8)	[(5, 8)]	train
FT_editorial_sector_06-05-05 08 01	negative	has_medium_neg_target	With summer came blackouts in Canada and the US , as well as a brief power shortage in London .	came blackouts in Canada and the US , as well as a brief power shortage in	came blackouts in Canada and the US , as well as a brief power shortage in London	(2, 17)	(2, 18)	[(18, 18)]	train
FT_editorial_sector_06-05-05 09 00	negative	has_medium_neg_target	Security of supply is an issue that will not go away and must be dealt with immediately if we hope to maintain our current standard of living in the western world .	will not go away and must be dealt with immediately if we hope to maintain our current standard of living in the western world	that will not go away and must be dealt with immediately if we hope to maintain our current standard of living in the western world	(7, 30)	(6, 30)	[(6, 6)]	train
FT_editorial_sector_06-05-05 09 01	positive	has_medium_pos_target	Security of supply is an issue that will not go away and must be dealt with immediately if we hope to maintain our current standard of living in the western world .	hope to maintain	hope to maintain our current standard of living in the western world	(19, 21)	(19, 30)	[(22, 30)]	train
FT_editorial_sector_06-05-05 11 00	negative	has_medium_neg_target	While different energy sources produce a variety of risks , the majority of EU countries are struggling with very similar concerns over security of supply .	are struggling with	are struggling with very similar concerns over security of supply	(15, 17)	(15, 24)	[(18, 24)]	train
FT_editorial_sector_06-05-05 11 01	negative	has_medium_neg_target	While different energy sources produce a variety of risks , the majority of EU countries are struggling with very similar concerns over security of supply .	are struggling with very similar concerns over security of supply	the majority of EU countries are struggling with very similar concerns over security of supply	(15, 24)	(10, 24)	[(10, 14)]	train
FT_editorial_sector_06-05-05 13 00	positive	has_medium_pos_target	This begs the question : does the shared burden of geological , geopolitical and environmental constraints and risks lead to the development of shared energy solutions and strategies ?	does the shared burden of geological , geopolitical and environmental constraints and risks lead to the development of shared energy solutions and strategies ?	does the shared burden of geological , geopolitical and environmental constraints and risks lead to the development of shared energy solutions and strategies ?	(5, 28)	(5, 28)	[(20, 27)]	train
FT_editorial_sector_06-05-05 13 01	positive	has_high_pos_target	This begs the question : does the shared burden of geological , geopolitical and environmental constraints and risks lead to the development of shared energy solutions and strategies ?	the development of shared energy solutions and strategies	the development of shared energy solutions and strategies	(20, 27)	(20, 27)	[(24, 24)]	train
FT_editorial_sector_06-05-05 15 00	positive	has_medium_pos_target	Current responses to these risks can be seen in the effort to increase competition through the liberalisation of energy markets , and the diversification of energy supplies .	the effort to increase competition through	the effort to increase competition through the liberalisation of energy markets , and the diversification of energy supplies	(9, 14)	(9, 26)	[(15, 19), (22, 26)]	train
FT_editorial_sector_06-05-05 16 00	negative	has_medium_neg_target	It is possible that these responses might have the opposite effect , allowing competition to increase , rather than reduce or maintain prices .	might have the opposite effect	might have the opposite effect , allowing competition to increase	(6, 10)	(6, 15)	[(12, 15)]	train
FT_editorial_sector_06-05-05 16 01	positive	has_medium_pos_target	It is possible that these responses might have the opposite effect , allowing competition to increase , rather than reduce or maintain prices .	rather than reduce or maintain	rather than reduce or maintain prices	(17, 21)	(17, 22)	[(22, 22)]	train
FT_editorial_sector_06-05-05 18 00	neutral	has_low_other_target	Policymakers must take these issues into account as they attempt to regulate the security of supply on an international level .	must take these issues into account	must take these issues into account	(1, 6)	(1, 6)	[(3, 4)]	train
FT_editorial_sector_06-05-05 18 01	positive	has_medium_pos_target	Policymakers must take these issues into account as they attempt to regulate the security of supply on an international level .	attempt to regulate the security of supply on an international level	attempt to regulate the security of supply on an international level	(9, 19)	(9, 19)	[(12, 15)]	train
